epoch,generated,true,D_loss,G_loss,distance
0,"[0.06485921889543533, 0.012483037076890469]","[-0.18433819711208344, -0.07543737441301346]",1.3883,0.7456,17.3117609698854
0,"[0.19212567806243896, -0.0023347176611423492]","[2.7197725772857666, 2.1719391345977783]",1.3883,0.7456,17.3117609698854
0,"[0.043527793139219284, 0.1301177740097046]","[-0.28628772497177124, 1.5636602640151978]",1.3883,0.7456,17.3117609698854
0,"[-0.003784090280532837, 0.1100321114063263]","[-0.3779408633708954, -1.1081993579864502]",1.3883,0.7456,17.3117609698854
0,"[0.08296138048171997, 0.05773729085922241]","[0.6365326642990112, 0.16422554850578308]",1.3883,0.7456,17.3117609698854
0,"[0.08527499437332153, -0.005350420251488686]","[0.7406490445137024, -0.038523487746715546]",1.3883,0.7456,17.3117609698854
0,"[0.0401773639023304, 0.1428341120481491]","[-0.550236701965332, -1.0858385562896729]",1.3883,0.7456,17.3117609698854
0,"[0.07392401993274689, -0.04182044416666031]","[0.5619217753410339, -0.6858974099159241]",1.3883,0.7456,17.3117609698854
0,"[0.11433206498622894, 0.014830238185822964]","[1.053642988204956, -0.9783757925033569]",1.3883,0.7456,17.3117609698854
0,"[0.13351577520370483, 0.15004180371761322]","[0.5511356592178345, 1.7364133596420288]",1.3883,0.7456,17.3117609698854
0,"[0.05998167395591736, 0.0740908607840538]","[-0.7745007276535034, -0.8960113525390625]",1.3883,0.7456,17.3117609698854
0,"[0.05272659659385681, 0.044096678495407104]","[0.826278805732727, -1.1016919612884521]",1.3883,0.7456,17.3117609698854
0,"[0.05951039493083954, 0.044797852635383606]","[0.6268958449363708, 0.6663410067558289]",1.3883,0.7456,17.3117609698854
0,"[0.10049330443143845, 0.026186628267169]","[0.9494807720184326, -1.0996997356414795]",1.3883,0.7456,17.3117609698854
0,"[0.12533484399318695, -0.021005218848586082]","[0.82457035779953, -1.1202291250228882]",1.3883,0.7456,17.3117609698854
0,"[0.0694761574268341, 0.019041677936911583]","[-0.15779908001422882, 1.8928768634796143]",1.3883,0.7456,17.3117609698854
0,"[0.16307756304740906, -0.03594023734331131]","[0.7200644612312317, -1.0631492137908936]",1.3883,0.7456,17.3117609698854
0,"[0.30443963408470154, -0.08016341179609299]","[2.0770316123962402, 0.8090590834617615]",1.3883,0.7456,17.3117609698854
0,"[0.13713212311267853, -0.009969087317585945]","[-0.48677948117256165, 0.4705633819103241]",1.3883,0.7456,17.3117609698854
0,"[0.09715229272842407, 0.0527101531624794]","[1.3816533088684082, 0.6206269860267639]",1.3883,0.7456,17.3117609698854
0,"[0.039930909872055054, 0.052043475210666656]","[0.20390118658542633, -0.9566742777824402]",1.3883,0.7456,17.3117609698854
0,"[0.0665222555398941, 0.10180936753749847]","[-0.5780268311500549, -1.0481698513031006]",1.3883,0.7456,17.3117609698854
0,"[0.16030512750148773, -0.033360809087753296]","[0.5496811270713806, 1.725254774093628]",1.3883,0.7456,17.3117609698854
0,"[0.11690148711204529, 0.03664320334792137]","[0.3893832564353943, -1.1149436235427856]",1.3883,0.7456,17.3117609698854
0,"[0.0683368518948555, 0.019037442281842232]","[0.09622762352228165, -0.9008210897445679]",1.3883,0.7456,17.3117609698854
0,"[0.13404196500778198, 0.21992680430412292]","[1.5097174644470215, 1.1667380332946777]",1.3883,0.7456,17.3117609698854
0,"[0.04790221154689789, 0.09620877355337143]","[-0.5855016708374023, -0.4889203608036041]",1.3883,0.7456,17.3117609698854
0,"[0.022684022784233093, 0.1405542641878128]","[-0.8573942184448242, 0.5612838268280029]",1.3883,0.7456,17.3117609698854
0,"[0.10756248235702515, -0.0016805753111839294]","[0.9581906199455261, 0.09202999621629715]",1.3883,0.7456,17.3117609698854
0,"[0.10024595260620117, 0.03583240509033203]","[0.31139472126960754, -0.45633453130722046]",1.3883,0.7456,17.3117609698854
0,"[0.05134638398885727, 0.06751642376184464]","[-0.4435370862483978, -1.0586674213409424]",1.3883,0.7456,17.3117609698854
0,"[0.1079932227730751, -0.0013848356902599335]","[1.2038711309432983, 1.272040605545044]",1.3883,0.7456,17.3117609698854
0,"[0.5794678926467896, -0.8593474626541138]","[-0.8914855122566223, -0.90201336145401]",1.3903,0.696,17.3117609698854
0,"[-0.11293285340070724, -0.5549997687339783]","[0.25385206937789917, -0.5816493630409241]",1.3903,0.696,17.3117609698854
0,"[0.28766897320747375, 1.1783229112625122]","[1.0096253156661987, -1.1058388948440552]",1.3903,0.696,17.3117609698854
0,"[0.26693177223205566, 1.4490584135055542]","[1.2168773412704468, -0.48719581961631775]",1.3903,0.696,17.3117609698854
0,"[1.055752158164978, -1.5692224502563477]","[-0.22957567870616913, -1.1000186204910278]",1.3903,0.696,17.3117609698854
0,"[0.4350285530090332, -1.5735052824020386]","[0.13791385293006897, -1.1172378063201904]",1.3903,0.696,17.3117609698854
0,"[0.20011642575263977, -0.8764151334762573]","[-1.2364492416381836, -0.6296049952507019]",1.3903,0.696,17.3117609698854
